
2024/08/17 (14:12:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (21:07:49) | ===> btop++ v.1.3.2
2024/08/17 (21:07:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/17 (22:09:22) | ===> btop++ v.1.3.2
2024/08/17 (22:09:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (09:23:15) | ===> btop++ v.1.3.2
2024/08/18 (09:23:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/18 (16:29:54) | ===> btop++ v.1.3.2
2024/08/18 (16:29:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
